t, thetaX, thetaY, thetaZ, omegaX, omegaY, omegaZ, alphaX, alphaY, alphaZ
0.00000,-0.16216,0.06097,0.00000,-0.00282,0.00647,0.00000,0.00000,0.00000,0.00000
0.50000,-0.16357,0.06421,0.00000,-0.00282,0.00647,0.00000,0.00000,0.00000,0.00000
1.00000,-0.16498,0.06744,0.00000,-0.00282,0.00647,0.00000,0.00000,0.00000,0.00000
1.50000,-0.16639,0.07067,0.00000,-0.00282,0.00647,0.00000,0.00000,0.00000,0.00000
2.00000,-0.16780,0.07390,0.00000,-0.00282,0.00647,0.00000,0.00000,0.00000,0.00000
2.50000,-0.16921,0.07714,0.00000,-0.00282,0.00647,0.00000,0.00000,0.00000,0.00000
3.00000,-0.17062,0.08037,0.00000,-0.00282,0.00647,0.00000,0.00000,0.00000,0.00000
3.50000,-0.17203,0.08360,0.00000,-0.00282,0.00647,0.00000,0.00000,0.00000,0.00000
4.00000,-0.17344,0.08683,0.00000,-0.00282,0.00647,0.00000,0.00000,0.00000,0.00000
4.50000,-0.17485,0.09007,0.00000,-0.00282,0.00647,0.00000,0.00000,0.00000,0.00000
5.00000,-0.17626,0.09330,0.00000,-0.00282,0.00647,0.00000,0.00000,0.00000,0.00000
5.50000,-0.17767,0.09653,0.00000,-0.00282,0.00647,0.00000,0.00000,0.00000,0.00000
6.00000,-0.17908,0.09977,0.00000,-0.00282,0.00647,0.00000,0.00000,0.00000,0.00000
6.50000,-0.18049,0.10300,0.00000,-0.00282,0.00647,0.00000,0.00000,0.00000,0.00000
7.00000,-0.18190,0.10623,0.00000,-0.00282,0.00647,0.00000,0.00000,0.00000,0.00000
7.50000,-0.18331,0.10946,0.00000,-0.00282,0.00647,0.00000,0.00000,0.00000,0.00000
8.00000,-0.18472,0.11270,0.00000,-0.00282,0.00647,0.00000,0.00000,0.00000,0.00000
8.50000,-0.18613,0.11593,0.00000,-0.00282,0.00647,0.00000,0.00000,0.00000,0.00000
9.00000,-0.18754,0.11916,0.00000,-0.00282,0.00647,0.00000,0.00000,0.00000,0.00000
9.50000,-0.18895,0.12239,0.00000,-0.00282,0.00647,0.00000,0.00000,0.00000,0.00000
