t, thetaX, thetaY, thetaZ, omegaX, omegaY, omegaZ, alphaX, alphaY, alphaZ
0.00000,-0.46425,0.59395,0.00000,-0.01650,0.00595,0.00000,0.00000,0.00000,0.00000
0.50000,-0.47249,0.59692,0.00000,-0.01650,0.00595,0.00000,0.00000,0.00000,0.00000
1.00000,-0.48074,0.59990,0.00000,-0.01650,0.00595,0.00000,0.00000,0.00000,0.00000
1.50000,-0.48899,0.60287,0.00000,-0.01650,0.00595,0.00000,0.00000,0.00000,0.00000
2.00000,-0.49724,0.60585,0.00000,-0.01650,0.00595,0.00000,0.00000,0.00000,0.00000
2.50000,-0.50549,0.60882,0.00000,-0.01650,0.00595,0.00000,0.00000,0.00000,0.00000
3.00000,-0.51374,0.61180,0.00000,-0.01650,0.00595,0.00000,0.00000,0.00000,0.00000
3.50000,-0.52199,0.61477,0.00000,-0.01650,0.00595,0.00000,0.00000,0.00000,0.00000
4.00000,-0.53023,0.61775,0.00000,-0.01650,0.00595,0.00000,0.00000,0.00000,0.00000
4.50000,-0.53848,0.62072,0.00000,-0.01650,0.00595,0.00000,0.00000,0.00000,0.00000
5.00000,-0.54673,0.62370,0.00000,-0.01650,0.00595,0.00000,0.00000,0.00000,0.00000
5.50000,-0.55498,0.62667,0.00000,-0.01650,0.00595,0.00000,0.00000,0.00000,0.00000
6.00000,-0.56323,0.62965,0.00000,-0.01650,0.00595,0.00000,0.00000,0.00000,0.00000
6.50000,-0.57148,0.63262,0.00000,-0.01650,0.00595,0.00000,0.00000,0.00000,0.00000
7.00000,-0.57973,0.63560,0.00000,-0.01650,0.00595,0.00000,0.00000,0.00000,0.00000
7.50000,-0.58797,0.63857,0.00000,-0.01650,0.00595,0.00000,0.00000,0.00000,0.00000
8.00000,-0.59622,0.64155,0.00000,-0.01650,0.00595,0.00000,0.00000,0.00000,0.00000
8.50000,-0.60447,0.64452,0.00000,-0.01650,0.00595,0.00000,0.00000,0.00000,0.00000
9.00000,-0.61272,0.64750,0.00000,-0.01650,0.00595,0.00000,0.00000,0.00000,0.00000
9.50000,-0.62097,0.65047,0.00000,-0.01650,0.00595,0.00000,0.00000,0.00000,0.00000
