t, thetaX, thetaY, thetaZ, omegaX, omegaY, omegaZ, alphaX, alphaY, alphaZ
0.00000,-10.00000,-10.00000,0.00000,-0.05000,0.00000,0.00000,0.00000,0.00000,0.00000
0.10033,-10.00502,-10.00000,0.00000,-0.05000,0.00000,0.00000,0.00000,0.00000,0.00000
0.20067,-10.01003,-10.00000,0.00000,-0.05000,0.00000,0.00000,0.00000,0.00000,0.00000
0.30100,-10.01505,-10.00000,0.00000,-0.05000,0.00000,0.00000,0.00000,0.00000,0.00000
0.40133,-10.02007,-10.00000,0.00000,-0.05000,0.00000,0.00000,0.00000,0.00000,0.00000
0.50167,-10.02508,-10.00000,0.00000,-0.05000,0.00000,0.00000,0.00000,0.00000,0.00000
0.60200,-10.03010,-10.00000,0.00000,-0.05000,0.00000,0.00000,0.00000,0.00000,0.00000
0.70233,-10.03512,-10.00000,0.00000,-0.05000,0.00000,0.00000,0.00000,0.00000,0.00000
0.80267,-10.04013,-10.00000,0.00000,-0.05000,0.00000,0.00000,0.00000,0.00000,0.00000
0.90300,-10.04515,-10.00000,0.00000,-0.05000,0.00000,0.00000,0.00000,0.00000,0.00000
1.00333,-10.05017,-10.00000,0.00000,-0.05000,0.00000,0.00000,0.00000,0.00000,0.00000
1.10367,-10.05518,-10.00000,0.00000,-0.05000,0.00000,0.00000,0.00000,0.00000,0.00000
1.20400,-10.06020,-10.00000,0.00000,-0.05000,0.00000,0.00000,0.00000,0.00000,0.00000
1.30433,-10.06522,-10.00000,0.00000,-0.05000,0.00000,0.00000,0.00000,0.00000,0.00000
1.40467,-10.07023,-10.00000,0.00000,-0.05000,0.00000,0.00000,0.00000,0.00000,0.00000
1.50500,-10.07525,-10.00000,0.00000,-0.05000,0.00000,0.00000,0.00000,0.00000,0.00000
1.60533,-10.08027,-10.00000,0.00000,-0.05000,0.00000,0.00000,0.00000,0.00000,0.00000
1.70567,-10.08528,-10.00000,0.00000,-0.05000,0.00000,0.00000,0.00000,0.00000,0.00000
1.80600,-10.09030,-10.00000,0.00000,-0.05000,0.00000,0.00000,0.00000,0.00000,0.00000
1.90633,-10.09532,-10.00000,0.00000,-0.05000,0.00000,0.00000,0.00000,0.00000,0.00000
2.00667,-10.10033,-10.00000,0.00000,-0.05000,0.00000,0.00000,0.00000,0.00000,0.00000
2.10700,-10.10535,-10.00000,0.00000,-0.05000,0.00000,0.00000,0.00000,0.00000,0.00000
2.20733,-10.11037,-10.00000,0.00000,-0.05000,0.00000,0.00000,0.00000,0.00000,0.00000
2.30767,-10.11538,-10.00000,0.00000,-0.05000,0.00000,0.00000,0.00000,0.00000,0.00000
2.40800,-10.12040,-10.00000,0.00000,-0.05000,0.00000,0.00000,0.00000,0.00000,0.00000
2.50833,-10.12542,-10.00000,0.00000,-0.05000,0.00000,0.00000,0.00000,0.00000,0.00000
2.60867,-10.13043,-10.00000,0.00000,-0.05000,0.00000,0.00000,0.00000,0.00000,0.00000
2.70900,-10.13545,-10.00000,0.00000,-0.05000,0.00000,0.00000,0.00000,0.00000,0.00000
2.80933,-10.14047,-10.00000,0.00000,-0.05000,0.00000,0.00000,0.00000,0.00000,0.00000
2.90967,-10.14548,-10.00000,0.00000,-0.05000,0.00000,0.00000,0.00000,0.00000,0.00000
3.01000,-10.15050,-10.00000,0.00000,-0.05000,0.00000,0.00000,0.00000,0.00000,0.00000
3.11033,-10.15552,-10.00000,0.00000,-0.05000,0.00000,0.00000,0.00000,0.00000,0.00000
3.21067,-10.16053,-10.00000,0.00000,-0.05000,0.00000,0.00000,0.00000,0.00000,0.00000
3.31100,-10.16555,-10.00000,0.00000,-0.05000,0.00000,0.00000,0.00000,0.00000,0.00000
3.41133,-10.17057,-10.00000,0.00000,-0.05000,0.00000,0.00000,0.00000,0.00000,0.00000
3.51167,-10.17558,-10.00000,0.00000,-0.05000,0.00000,0.00000,0.00000,0.00000,0.00000
3.61200,-10.18060,-10.00000,0.00000,-0.05000,0.00000,0.00000,0.00000,0.00000,0.00000
3.71233,-10.18562,-10.00000,0.00000,-0.05000,0.00000,0.00000,0.00000,0.00000,0.00000
3.81267,-10.19063,-10.00000,0.00000,-0.05000,0.00000,0.00000,0.00000,0.00000,0.00000
3.91300,-10.19565,-10.00000,0.00000,-0.05000,0.00000,0.00000,0.00000,0.00000,0.00000
4.01333,-10.20067,-10.00000,0.00000,-0.05000,0.00000,0.00000,0.00000,0.00000,0.00000
4.11367,-10.20568,-10.00000,0.00000,-0.05000,0.00000,0.00000,0.00000,0.00000,0.00000
4.21400,-10.21070,-10.00000,0.00000,-0.05000,0.00000,0.00000,0.00000,0.00000,0.00000
4.31433,-10.21572,-10.00000,0.00000,-0.05000,0.00000,0.00000,0.00000,0.00000,0.00000
4.41467,-10.22073,-10.00000,0.00000,-0.05000,0.00000,0.00000,0.00000,0.00000,0.00000
4.51500,-10.22575,-10.00000,0.00000,-0.05000,0.00000,0.00000,0.00000,0.00000,0.00000
4.61533,-10.23077,-10.00000,0.00000,-0.05000,0.00000,0.00000,0.00000,0.00000,0.00000
4.71567,-10.23578,-10.00000,0.00000,-0.05000,0.00000,0.00000,0.00000,0.00000,0.00000
4.81600,-10.24080,-10.00000,0.00000,-0.05000,0.00000,0.00000,0.00000,0.00000,0.00000
4.91633,-10.24582,-10.00000,0.00000,-0.05000,0.00000,0.00000,0.00000,0.00000,0.00000
5.01667,-10.25083,-10.00000,0.00000,-0.05000,0.00000,0.00000,0.00000,0.00000,0.00000
5.11700,-10.25585,-10.00000,0.00000,-0.05000,0.00000,0.00000,0.00000,0.00000,0.00000
5.21733,-10.26087,-10.00000,0.00000,-0.05000,0.00000,0.00000,0.00000,0.00000,0.00000
5.31767,-10.26588,-10.00000,0.00000,-0.05000,0.00000,0.00000,0.00000,0.00000,0.00000
5.41800,-10.27090,-10.00000,0.00000,-0.05000,0.00000,0.00000,0.00000,0.00000,0.00000
5.51833,-10.27592,-10.00000,0.00000,-0.05000,0.00000,0.00000,0.00000,0.00000,0.00000
5.61867,-10.28093,-10.00000,0.00000,-0.05000,0.00000,0.00000,0.00000,0.00000,0.00000
5.71900,-10.28595,-10.00000,0.00000,-0.05000,0.00000,0.00000,0.00000,0.00000,0.00000
5.81933,-10.29097,-10.00000,0.00000,-0.05000,0.00000,0.00000,0.00000,0.00000,0.00000
5.91967,-10.29598,-10.00000,0.00000,-0.05000,0.00000,0.00000,0.00000,0.00000,0.00000
6.02000,-10.30100,-10.00000,0.00000,-0.05000,0.00000,0.00000,0.00000,0.00000,0.00000
6.12033,-10.30602,-10.00000,0.00000,-0.05000,0.00000,0.00000,0.00000,0.00000,0.00000
6.22067,-10.31103,-10.00000,0.00000,-0.05000,0.00000,0.00000,0.00000,0.00000,0.00000
6.32100,-10.31605,-10.00000,0.00000,-0.05000,0.00000,0.00000,0.00000,0.00000,0.00000
6.42133,-10.32107,-10.00000,0.00000,-0.05000,0.00000,0.00000,0.00000,0.00000,0.00000
6.52167,-10.32608,-10.00000,0.00000,-0.05000,0.00000,0.00000,0.00000,0.00000,0.00000
6.62200,-10.33110,-10.00000,0.00000,-0.05000,0.00000,0.00000,0.00000,0.00000,0.00000
6.72233,-10.33612,-10.00000,0.00000,-0.05000,0.00000,0.00000,0.00000,0.00000,0.00000
6.82267,-10.34113,-10.00000,0.00000,-0.05000,0.00000,0.00000,0.00000,0.00000,0.00000
6.92300,-10.34615,-10.00000,0.00000,-0.05000,0.00000,0.00000,0.00000,0.00000,0.00000
7.02333,-10.35117,-10.00000,0.00000,-0.05000,0.00000,0.00000,0.00000,0.00000,0.00000
7.12367,-10.35618,-10.00000,0.00000,-0.05000,0.00000,0.00000,0.00000,0.00000,0.00000
7.22400,-10.36120,-10.00000,0.00000,-0.05000,0.00000,0.00000,0.00000,0.00000,0.00000
7.32433,-10.36622,-10.00000,0.00000,-0.05000,0.00000,0.00000,0.00000,0.00000,0.00000
7.42467,-10.37123,-10.00000,0.00000,-0.05000,0.00000,0.00000,0.00000,0.00000,0.00000
7.52500,-10.37625,-10.00000,0.00000,-0.05000,0.00000,0.00000,0.00000,0.00000,0.00000
7.62533,-10.38127,-10.00000,0.00000,-0.05000,0.00000,0.00000,0.00000,0.00000,0.00000
7.72567,-10.38628,-10.00000,0.00000,-0.05000,0.00000,0.00000,0.00000,0.00000,0.00000
7.82600,-10.39130,-10.00000,0.00000,-0.05000,0.00000,0.00000,0.00000,0.00000,0.00000
7.92633,-10.39632,-10.00000,0.00000,-0.05000,0.00000,0.00000,0.00000,0.00000,0.00000
8.02667,-10.40133,-10.00000,0.00000,-0.05000,0.00000,0.00000,0.00000,0.00000,0.00000
8.12700,-10.40635,-10.00000,0.00000,-0.05000,0.00000,0.00000,0.00000,0.00000,0.00000
8.22733,-10.41137,-10.00000,0.00000,-0.05000,0.00000,0.00000,0.00000,0.00000,0.00000
8.32767,-10.41638,-10.00000,0.00000,-0.05000,0.00000,0.00000,0.00000,0.00000,0.00000
8.42800,-10.42140,-10.00000,0.00000,-0.05000,0.00000,0.00000,0.00000,0.00000,0.00000
8.52833,-10.42642,-10.00000,0.00000,-0.05000,0.00000,0.00000,0.00000,0.00000,0.00000
8.62867,-10.43143,-10.00000,0.00000,-0.05000,0.00000,0.00000,0.00000,0.00000,0.00000
8.72900,-10.43645,-10.00000,0.00000,-0.05000,0.00000,0.00000,0.00000,0.00000,0.00000
8.82933,-10.44147,-10.00000,0.00000,-0.05000,0.00000,0.00000,0.00000,0.00000,0.00000
8.92967,-10.44648,-10.00000,0.00000,-0.05000,0.00000,0.00000,0.00000,0.00000,0.00000
9.03000,-10.45150,-10.00000,0.00000,-0.05000,0.00000,0.00000,0.00000,0.00000,0.00000
9.13033,-10.45652,-10.00000,0.00000,-0.05000,0.00000,0.00000,0.00000,0.00000,0.00000
9.23067,-10.46153,-10.00000,0.00000,-0.05000,0.00000,0.00000,0.00000,0.00000,0.00000
9.33100,-10.46655,-10.00000,0.00000,-0.05000,0.00000,0.00000,0.00000,0.00000,0.00000
9.43133,-10.47157,-10.00000,0.00000,-0.05000,0.00000,0.00000,0.00000,0.00000,0.00000
9.53167,-10.47658,-10.00000,0.00000,-0.05000,0.00000,0.00000,0.00000,0.00000,0.00000
9.63200,-10.48160,-10.00000,0.00000,-0.05000,0.00000,0.00000,0.00000,0.00000,0.00000
9.73233,-10.48662,-10.00000,0.00000,-0.05000,0.00000,0.00000,0.00000,0.00000,0.00000
9.83267,-10.49163,-10.00000,0.00000,-0.05000,0.00000,0.00000,0.00000,0.00000,0.00000
9.93300,-10.49665,-10.00000,0.00000,-0.05000,0.00000,0.00000,0.00000,0.00000,0.00000
10.03333,-10.50167,-10.00000,0.00000,-0.05000,0.00000,0.00000,0.00000,0.00000,0.00000
