t, thetaX, thetaY, thetaZ, omegaX, omegaY, omegaZ, alphaX, alphaY, alphaZ
0.00000,-0.78540,-0.78540,0.00000,-0.01745,-0.01745,0.00000,0.00000,0.00000,0.00000
0.50000,-0.79412,-0.79412,0.00000,-0.01745,-0.01745,0.00000,0.00000,0.00000,0.00000
1.00000,-0.80285,-0.80285,0.00000,-0.01745,-0.01745,0.00000,0.00000,0.00000,0.00000
1.50000,-0.81158,-0.81158,0.00000,-0.01745,-0.01745,0.00000,0.00000,0.00000,0.00000
2.00000,-0.82030,-0.82030,0.00000,-0.01745,-0.01745,0.00000,0.00000,0.00000,0.00000
2.50000,-0.82903,-0.82903,0.00000,-0.01745,-0.01745,0.00000,0.00000,0.00000,0.00000
3.00000,-0.83776,-0.83776,0.00000,-0.01745,-0.01745,0.00000,0.00000,0.00000,0.00000
3.50000,-0.84648,-0.84648,0.00000,-0.01745,-0.01745,0.00000,0.00000,0.00000,0.00000
4.00000,-0.85521,-0.85521,0.00000,-0.01745,-0.01745,0.00000,0.00000,0.00000,0.00000
4.50000,-0.86394,-0.86394,0.00000,-0.01745,-0.01745,0.00000,0.00000,0.00000,0.00000
5.00000,-0.87266,-0.87266,0.00000,-0.01745,-0.01745,0.00000,0.00000,0.00000,0.00000
5.50000,-0.88139,-0.88139,0.00000,-0.01745,-0.01745,0.00000,0.00000,0.00000,0.00000
6.00000,-0.89012,-0.89012,0.00000,-0.01745,-0.01745,0.00000,0.00000,0.00000,0.00000
6.50000,-0.89884,-0.89884,0.00000,-0.01745,-0.01745,0.00000,0.00000,0.00000,0.00000
7.00000,-0.90757,-0.90757,0.00000,-0.01745,-0.01745,0.00000,0.00000,0.00000,0.00000
7.50000,-0.91630,-0.91630,0.00000,-0.01745,-0.01745,0.00000,0.00000,0.00000,0.00000
8.00000,-0.92502,-0.92502,0.00000,-0.01745,-0.01745,0.00000,0.00000,0.00000,0.00000
8.50000,-0.93375,-0.93375,0.00000,-0.01745,-0.01745,0.00000,0.00000,0.00000,0.00000
9.00000,-0.94248,-0.94248,0.00000,-0.01745,-0.01745,0.00000,0.00000,0.00000,0.00000
9.50000,-0.95120,-0.95120,0.00000,-0.01745,-0.01745,0.00000,0.00000,0.00000,0.00000
