t, thetaX, thetaY, thetaZ, omegaX, omegaY, omegaZ, alphaX, alphaY, alphaZ
0.00000,-0.55487,-0.64035,0.00000,-0.01095,-0.00539,0.00000,0.00000,0.00000,0.00000
0.50000,-0.56035,-0.64305,0.00000,-0.01095,-0.00539,0.00000,0.00000,0.00000,0.00000
1.00000,-0.56583,-0.64574,0.00000,-0.01095,-0.00539,0.00000,0.00000,0.00000,0.00000
1.50000,-0.57130,-0.64844,0.00000,-0.01095,-0.00539,0.00000,0.00000,0.00000,0.00000
2.00000,-0.57678,-0.65113,0.00000,-0.01095,-0.00539,0.00000,0.00000,0.00000,0.00000
2.50000,-0.58225,-0.65383,0.00000,-0.01095,-0.00539,0.00000,0.00000,0.00000,0.00000
3.00000,-0.58773,-0.65653,0.00000,-0.01095,-0.00539,0.00000,0.00000,0.00000,0.00000
3.50000,-0.59321,-0.65922,0.00000,-0.01095,-0.00539,0.00000,0.00000,0.00000,0.00000
4.00000,-0.59868,-0.66192,0.00000,-0.01095,-0.00539,0.00000,0.00000,0.00000,0.00000
4.50000,-0.60416,-0.66461,0.00000,-0.01095,-0.00539,0.00000,0.00000,0.00000,0.00000
5.00000,-0.60963,-0.66731,0.00000,-0.01095,-0.00539,0.00000,0.00000,0.00000,0.00000
5.50000,-0.61511,-0.67000,0.00000,-0.01095,-0.00539,0.00000,0.00000,0.00000,0.00000
6.00000,-0.62058,-0.67270,0.00000,-0.01095,-0.00539,0.00000,0.00000,0.00000,0.00000
6.50000,-0.62606,-0.67539,0.00000,-0.01095,-0.00539,0.00000,0.00000,0.00000,0.00000
7.00000,-0.63154,-0.67809,0.00000,-0.01095,-0.00539,0.00000,0.00000,0.00000,0.00000
7.50000,-0.63701,-0.68079,0.00000,-0.01095,-0.00539,0.00000,0.00000,0.00000,0.00000
8.00000,-0.64249,-0.68348,0.00000,-0.01095,-0.00539,0.00000,0.00000,0.00000,0.00000
8.50000,-0.64796,-0.68618,0.00000,-0.01095,-0.00539,0.00000,0.00000,0.00000,0.00000
9.00000,-0.65344,-0.68887,0.00000,-0.01095,-0.00539,0.00000,0.00000,0.00000,0.00000
9.50000,-0.65891,-0.69157,0.00000,-0.01095,-0.00539,0.00000,0.00000,0.00000,0.00000
