t, thetaX, thetaY, thetaZ, omegaX, omegaY, omegaZ, alphaX, alphaY, alphaZ
0.00000,-0.12990,0.09219,0.00000,-0.01255,-0.01054,0.00000,0.00000,0.00000,0.00000
0.50000,-0.13617,0.08692,0.00000,-0.01255,-0.01054,0.00000,0.00000,0.00000,0.00000
1.00000,-0.14245,0.08165,0.00000,-0.01255,-0.01054,0.00000,0.00000,0.00000,0.00000
1.50000,-0.14873,0.07638,0.00000,-0.01255,-0.01054,0.00000,0.00000,0.00000,0.00000
2.00000,-0.15500,0.07111,0.00000,-0.01255,-0.01054,0.00000,0.00000,0.00000,0.00000
2.50000,-0.16128,0.06584,0.00000,-0.01255,-0.01054,0.00000,0.00000,0.00000,0.00000
3.00000,-0.16756,0.06058,0.00000,-0.01255,-0.01054,0.00000,0.00000,0.00000,0.00000
3.50000,-0.17383,0.05531,0.00000,-0.01255,-0.01054,0.00000,0.00000,0.00000,0.00000
4.00000,-0.18011,0.05004,0.00000,-0.01255,-0.01054,0.00000,0.00000,0.00000,0.00000
4.50000,-0.18639,0.04477,0.00000,-0.01255,-0.01054,0.00000,0.00000,0.00000,0.00000
5.00000,-0.19266,0.03950,0.00000,-0.01255,-0.01054,0.00000,0.00000,0.00000,0.00000
5.50000,-0.19894,0.03423,0.00000,-0.01255,-0.01054,0.00000,0.00000,0.00000,0.00000
6.00000,-0.20521,0.02896,0.00000,-0.01255,-0.01054,0.00000,0.00000,0.00000,0.00000
6.50000,-0.21149,0.02369,0.00000,-0.01255,-0.01054,0.00000,0.00000,0.00000,0.00000
7.00000,-0.21777,0.01842,0.00000,-0.01255,-0.01054,0.00000,0.00000,0.00000,0.00000
7.50000,-0.22404,0.01315,0.00000,-0.01255,-0.01054,0.00000,0.00000,0.00000,0.00000
8.00000,-0.23032,0.00788,0.00000,-0.01255,-0.01054,0.00000,0.00000,0.00000,0.00000
8.50000,-0.23660,0.00261,0.00000,-0.01255,-0.01054,0.00000,0.00000,0.00000,0.00000
9.00000,-0.24287,-0.00265,0.00000,-0.01255,-0.01054,0.00000,0.00000,0.00000,0.00000
9.50000,-0.24915,-0.00792,0.00000,-0.01255,-0.01054,0.00000,0.00000,0.00000,0.00000
