t, thetaX, thetaY, thetaZ, omegaX, omegaY, omegaZ, alphaX, alphaY, alphaZ
0.00000,-10.00000,-10.00000,0.00000,-0.05000,0.00000,0.00000,0.00000,0.00000,0.00000
0.10185,-10.00509,-10.00000,0.00000,-0.05000,0.00000,0.00000,0.00000,0.00000,0.00000
0.20370,-10.01019,-10.00000,0.00000,-0.05000,0.00000,0.00000,0.00000,0.00000,0.00000
0.30556,-10.01528,-10.00000,0.00000,-0.05000,0.00000,0.00000,0.00000,0.00000,0.00000
0.40741,-10.02037,-10.00000,0.00000,-0.05000,0.00000,0.00000,0.00000,0.00000,0.00000
0.50926,-10.02546,-10.00000,0.00000,-0.05000,0.00000,0.00000,0.00000,0.00000,0.00000
0.61111,-10.03056,-10.00000,0.00000,-0.05000,0.00000,0.00000,0.00000,0.00000,0.00000
0.71296,-10.03565,-10.00000,0.00000,-0.05000,0.00000,0.00000,0.00000,0.00000,0.00000
0.81481,-10.04074,-10.00000,0.00000,-0.05000,0.00000,0.00000,0.00000,0.00000,0.00000
0.91667,-10.04583,-10.00000,0.00000,-0.05000,0.00000,0.00000,0.00000,0.00000,0.00000
1.01852,-10.05093,-10.00000,0.00000,-0.05000,0.00000,0.00000,0.00000,0.00000,0.00000
1.12037,-10.05602,-10.00000,0.00000,-0.05000,0.00000,0.00000,0.00000,0.00000,0.00000
1.22222,-10.06111,-10.00000,0.00000,-0.05000,0.00000,0.00000,0.00000,0.00000,0.00000
1.32407,-10.06620,-10.00000,0.00000,-0.05000,0.00000,0.00000,0.00000,0.00000,0.00000
1.42593,-10.07130,-10.00000,0.00000,-0.05000,0.00000,0.00000,0.00000,0.00000,0.00000
1.52778,-10.07639,-10.00000,0.00000,-0.05000,0.00000,0.00000,0.00000,0.00000,0.00000
1.62963,-10.08148,-10.00000,0.00000,-0.05000,0.00000,0.00000,0.00000,0.00000,0.00000
1.73148,-10.08657,-10.00000,0.00000,-0.05000,0.00000,0.00000,0.00000,0.00000,0.00000
1.83333,-10.09167,-10.00000,0.00000,-0.05000,0.00000,0.00000,0.00000,0.00000,0.00000
1.93519,-10.09676,-10.00000,0.00000,-0.05000,0.00000,0.00000,0.00000,0.00000,0.00000
2.03704,-10.10185,-10.00000,0.00000,-0.05000,0.00000,0.00000,0.00000,0.00000,0.00000
2.13889,-10.10694,-10.00000,0.00000,-0.05000,0.00000,0.00000,0.00000,0.00000,0.00000
2.24074,-10.11204,-10.00000,0.00000,-0.05000,0.00000,0.00000,0.00000,0.00000,0.00000
2.34259,-10.11713,-10.00000,0.00000,-0.05000,0.00000,0.00000,0.00000,0.00000,0.00000
2.44444,-10.12222,-10.00000,0.00000,-0.05000,0.00000,0.00000,0.00000,0.00000,0.00000
2.54630,-10.12731,-10.00000,0.00000,-0.05000,0.00000,0.00000,0.00000,0.00000,0.00000
2.64815,-10.13241,-10.00000,0.00000,-0.05000,0.00000,0.00000,0.00000,0.00000,0.00000
2.75000,-10.13750,-10.00000,0.00000,-0.05000,0.00000,0.00000,0.00000,0.00000,0.00000
2.85185,-10.14259,-10.00000,0.00000,-0.05000,0.00000,0.00000,0.00000,0.00000,0.00000
2.95370,-10.14769,-10.00000,0.00000,-0.05000,0.00000,0.00000,0.00000,0.00000,0.00000
3.05556,-10.15278,-10.00000,0.00000,-0.05000,0.00000,0.00000,0.00000,0.00000,0.00000
3.15741,-10.15787,-10.00000,0.00000,-0.05000,0.00000,0.00000,0.00000,0.00000,0.00000
3.25926,-10.16296,-10.00000,0.00000,-0.05000,0.00000,0.00000,0.00000,0.00000,0.00000
3.36111,-10.16806,-10.00000,0.00000,-0.05000,0.00000,0.00000,0.00000,0.00000,0.00000
3.46296,-10.17315,-10.00000,0.00000,-0.05000,0.00000,0.00000,0.00000,0.00000,0.00000
3.56481,-10.17824,-10.00000,0.00000,-0.05000,0.00000,0.00000,0.00000,0.00000,0.00000
3.66667,-10.18333,-10.00000,0.00000,-0.05000,0.00000,0.00000,0.00000,0.00000,0.00000
3.76852,-10.18843,-10.00000,0.00000,-0.05000,0.00000,0.00000,0.00000,0.00000,0.00000
3.87037,-10.19352,-10.00000,0.00000,-0.05000,0.00000,0.00000,0.00000,0.00000,0.00000
3.97222,-10.19861,-10.00000,0.00000,-0.05000,0.00000,0.00000,0.00000,0.00000,0.00000
4.07407,-10.20370,-10.00000,0.00000,-0.05000,0.00000,0.00000,0.00000,0.00000,0.00000
4.17593,-10.20880,-10.00000,0.00000,-0.05000,0.00000,0.00000,0.00000,0.00000,0.00000
4.27778,-10.21389,-10.00000,0.00000,-0.05000,0.00000,0.00000,0.00000,0.00000,0.00000
4.37963,-10.21898,-10.00000,0.00000,-0.05000,0.00000,0.00000,0.00000,0.00000,0.00000
4.48148,-10.22407,-10.00000,0.00000,-0.05000,0.00000,0.00000,0.00000,0.00000,0.00000
4.58333,-10.22917,-10.00000,0.00000,-0.05000,0.00000,0.00000,0.00000,0.00000,0.00000
4.68519,-10.23426,-10.00000,0.00000,-0.05000,0.00000,0.00000,0.00000,0.00000,0.00000
4.78704,-10.23935,-10.00000,0.00000,-0.05000,0.00000,0.00000,0.00000,0.00000,0.00000
4.88889,-10.24444,-10.00000,0.00000,-0.05000,0.00000,0.00000,0.00000,0.00000,0.00000
4.99074,-10.24954,-10.00000,0.00000,-0.05000,0.00000,0.00000,0.00000,0.00000,0.00000
5.09259,-10.25463,-10.00000,0.00000,-0.05000,0.00000,0.00000,0.00000,0.00000,0.00000
5.19444,-10.25972,-10.00000,0.00000,-0.05000,0.00000,0.00000,0.00000,0.00000,0.00000
5.29630,-10.26481,-10.00000,0.00000,-0.05000,0.00000,0.00000,0.00000,0.00000,0.00000
5.39815,-10.26991,-10.00000,0.00000,-0.05000,0.00000,0.00000,0.00000,0.00000,0.00000
5.50000,-10.27500,-10.00000,0.00000,-0.05000,0.00000,0.00000,0.00000,0.00000,0.00000
