t, thetaX, thetaY, thetaZ, omegaX, omegaY, omegaZ, alphaX, alphaY, alphaZ
0.00000,-0.13034,0.34608,0.00000,-0.01745,-0.00690,0.00000,0.00000,0.00000,0.00000
0.50000,-0.13907,0.34263,0.00000,-0.01745,-0.00690,0.00000,0.00000,0.00000,0.00000
1.00000,-0.14779,0.33919,0.00000,-0.01745,-0.00690,0.00000,0.00000,0.00000,0.00000
1.50000,-0.15652,0.33574,0.00000,-0.01745,-0.00690,0.00000,0.00000,0.00000,0.00000
2.00000,-0.16524,0.33229,0.00000,-0.01745,-0.00690,0.00000,0.00000,0.00000,0.00000
2.50000,-0.17396,0.32884,0.00000,-0.01745,-0.00690,0.00000,0.00000,0.00000,0.00000
3.00000,-0.18269,0.32539,0.00000,-0.01745,-0.00690,0.00000,0.00000,0.00000,0.00000
3.50000,-0.19141,0.32194,0.00000,-0.01745,-0.00690,0.00000,0.00000,0.00000,0.00000
4.00000,-0.20014,0.31849,0.00000,-0.01745,-0.00690,0.00000,0.00000,0.00000,0.00000
4.50000,-0.20886,0.31504,0.00000,-0.01745,-0.00690,0.00000,0.00000,0.00000,0.00000
5.00000,-0.21759,0.31159,0.00000,-0.01745,-0.00690,0.00000,0.00000,0.00000,0.00000
5.50000,-0.22631,0.30814,0.00000,-0.01745,-0.00690,0.00000,0.00000,0.00000,0.00000
6.00000,-0.23504,0.30469,0.00000,-0.01745,-0.00690,0.00000,0.00000,0.00000,0.00000
6.50000,-0.24376,0.30124,0.00000,-0.01745,-0.00690,0.00000,0.00000,0.00000,0.00000
7.00000,-0.25249,0.29779,0.00000,-0.01745,-0.00690,0.00000,0.00000,0.00000,0.00000
7.50000,-0.26121,0.29434,0.00000,-0.01745,-0.00690,0.00000,0.00000,0.00000,0.00000
8.00000,-0.26994,0.29089,0.00000,-0.01745,-0.00690,0.00000,0.00000,0.00000,0.00000
8.50000,-0.27866,0.28744,0.00000,-0.01745,-0.00690,0.00000,0.00000,0.00000,0.00000
9.00000,-0.28739,0.28399,0.00000,-0.01745,-0.00690,0.00000,0.00000,0.00000,0.00000
9.50000,-0.29611,0.28054,0.00000,-0.01745,-0.00690,0.00000,0.00000,0.00000,0.00000
