t, thetaX, thetaY, thetaZ, omegaX, omegaY, omegaZ, alphaX, alphaY, alphaZ
0.00000,-10.00000,-10.00000,0.00000,-0.05000,0.00000,0.00000,0.00000,0.00000,0.00000
0.10096,-10.00505,-10.00000,0.00000,-0.05000,0.00000,0.00000,0.00000,0.00000,0.00000
0.20192,-10.01010,-10.00000,0.00000,-0.05000,0.00000,0.00000,0.00000,0.00000,0.00000
0.30288,-10.01514,-10.00000,0.00000,-0.05000,0.00000,0.00000,0.00000,0.00000,0.00000
0.40385,-10.02019,-10.00000,0.00000,-0.05000,0.00000,0.00000,0.00000,0.00000,0.00000
0.50481,-10.02524,-10.00000,0.00000,-0.05000,0.00000,0.00000,0.00000,0.00000,0.00000
0.60577,-10.03029,-10.00000,0.00000,-0.05000,0.00000,0.00000,0.00000,0.00000,0.00000
0.70673,-10.03534,-10.00000,0.00000,-0.05000,0.00000,0.00000,0.00000,0.00000,0.00000
0.80769,-10.04038,-10.00000,0.00000,-0.05000,0.00000,0.00000,0.00000,0.00000,0.00000
0.90865,-10.04543,-10.00000,0.00000,-0.05000,0.00000,0.00000,0.00000,0.00000,0.00000
1.00962,-10.05048,-10.00000,0.00000,-0.05000,0.00000,0.00000,0.00000,0.00000,0.00000
1.11058,-10.05553,-10.00000,0.00000,-0.05000,0.00000,0.00000,0.00000,0.00000,0.00000
1.21154,-10.06058,-10.00000,0.00000,-0.05000,0.00000,0.00000,0.00000,0.00000,0.00000
1.31250,-10.06563,-10.00000,0.00000,-0.05000,0.00000,0.00000,0.00000,0.00000,0.00000
1.41346,-10.07067,-10.00000,0.00000,-0.05000,0.00000,0.00000,0.00000,0.00000,0.00000
1.51442,-10.07572,-10.00000,0.00000,-0.05000,0.00000,0.00000,0.00000,0.00000,0.00000
1.61538,-10.08077,-10.00000,0.00000,-0.05000,0.00000,0.00000,0.00000,0.00000,0.00000
1.71635,-10.08582,-10.00000,0.00000,-0.05000,0.00000,0.00000,0.00000,0.00000,0.00000
1.81731,-10.09087,-10.00000,0.00000,-0.05000,0.00000,0.00000,0.00000,0.00000,0.00000
1.91827,-10.09591,-10.00000,0.00000,-0.05000,0.00000,0.00000,0.00000,0.00000,0.00000
2.01923,-10.10096,-10.00000,0.00000,-0.05000,0.00000,0.00000,0.00000,0.00000,0.00000
2.12019,-10.10601,-10.00000,0.00000,-0.05000,0.00000,0.00000,0.00000,0.00000,0.00000
2.22115,-10.11106,-10.00000,0.00000,-0.05000,0.00000,0.00000,0.00000,0.00000,0.00000
2.32212,-10.11611,-10.00000,0.00000,-0.05000,0.00000,0.00000,0.00000,0.00000,0.00000
2.42308,-10.12115,-10.00000,0.00000,-0.05000,0.00000,0.00000,0.00000,0.00000,0.00000
2.52404,-10.12620,-10.00000,0.00000,-0.05000,0.00000,0.00000,0.00000,0.00000,0.00000
2.62500,-10.13125,-10.00000,0.00000,-0.05000,0.00000,0.00000,0.00000,0.00000,0.00000
2.72596,-10.13630,-10.00000,0.00000,-0.05000,0.00000,0.00000,0.00000,0.00000,0.00000
2.82692,-10.14135,-10.00000,0.00000,-0.05000,0.00000,0.00000,0.00000,0.00000,0.00000
2.92788,-10.14639,-10.00000,0.00000,-0.05000,0.00000,0.00000,0.00000,0.00000,0.00000
3.02885,-10.15144,-10.00000,0.00000,-0.05000,0.00000,0.00000,0.00000,0.00000,0.00000
3.12981,-10.15649,-10.00000,0.00000,-0.05000,0.00000,0.00000,0.00000,0.00000,0.00000
3.23077,-10.16154,-10.00000,0.00000,-0.05000,0.00000,0.00000,0.00000,0.00000,0.00000
3.33173,-10.16659,-10.00000,0.00000,-0.05000,0.00000,0.00000,0.00000,0.00000,0.00000
3.43269,-10.17163,-10.00000,0.00000,-0.05000,0.00000,0.00000,0.00000,0.00000,0.00000
3.53365,-10.17668,-10.00000,0.00000,-0.05000,0.00000,0.00000,0.00000,0.00000,0.00000
3.63462,-10.18173,-10.00000,0.00000,-0.05000,0.00000,0.00000,0.00000,0.00000,0.00000
3.73558,-10.18678,-10.00000,0.00000,-0.05000,0.00000,0.00000,0.00000,0.00000,0.00000
3.83654,-10.19183,-10.00000,0.00000,-0.05000,0.00000,0.00000,0.00000,0.00000,0.00000
3.93750,-10.19688,-10.00000,0.00000,-0.05000,0.00000,0.00000,0.00000,0.00000,0.00000
4.03846,-10.20192,-10.00000,0.00000,-0.05000,0.00000,0.00000,0.00000,0.00000,0.00000
4.13942,-10.20697,-10.00000,0.00000,-0.05000,0.00000,0.00000,0.00000,0.00000,0.00000
4.24038,-10.21202,-10.00000,0.00000,-0.05000,0.00000,0.00000,0.00000,0.00000,0.00000
4.34135,-10.21707,-10.00000,0.00000,-0.05000,0.00000,0.00000,0.00000,0.00000,0.00000
4.44231,-10.22212,-10.00000,0.00000,-0.05000,0.00000,0.00000,0.00000,0.00000,0.00000
4.54327,-10.22716,-10.00000,0.00000,-0.05000,0.00000,0.00000,0.00000,0.00000,0.00000
4.64423,-10.23221,-10.00000,0.00000,-0.05000,0.00000,0.00000,0.00000,0.00000,0.00000
4.74519,-10.23726,-10.00000,0.00000,-0.05000,0.00000,0.00000,0.00000,0.00000,0.00000
4.84615,-10.24231,-10.00000,0.00000,-0.05000,0.00000,0.00000,0.00000,0.00000,0.00000
4.94712,-10.24736,-10.00000,0.00000,-0.05000,0.00000,0.00000,0.00000,0.00000,0.00000
5.04808,-10.25240,-10.00000,0.00000,-0.05000,0.00000,0.00000,0.00000,0.00000,0.00000
5.14904,-10.25745,-10.00000,0.00000,-0.05000,0.00000,0.00000,0.00000,0.00000,0.00000
5.25000,-10.26250,-10.00000,0.00000,-0.05000,0.00000,0.00000,0.00000,0.00000,0.00000
5.35096,-10.26755,-10.00000,0.00000,-0.05000,0.00000,0.00000,0.00000,0.00000,0.00000
5.45192,-10.27260,-10.00000,0.00000,-0.05000,0.00000,0.00000,0.00000,0.00000,0.00000
5.55288,-10.27764,-10.00000,0.00000,-0.05000,0.00000,0.00000,0.00000,0.00000,0.00000
5.65385,-10.28269,-10.00000,0.00000,-0.05000,0.00000,0.00000,0.00000,0.00000,0.00000
5.75481,-10.28774,-10.00000,0.00000,-0.05000,0.00000,0.00000,0.00000,0.00000,0.00000
5.85577,-10.29279,-10.00000,0.00000,-0.05000,0.00000,0.00000,0.00000,0.00000,0.00000
5.95673,-10.29784,-10.00000,0.00000,-0.05000,0.00000,0.00000,0.00000,0.00000,0.00000
6.05769,-10.30288,-10.00000,0.00000,-0.05000,0.00000,0.00000,0.00000,0.00000,0.00000
6.15865,-10.30793,-10.00000,0.00000,-0.05000,0.00000,0.00000,0.00000,0.00000,0.00000
6.25962,-10.31298,-10.00000,0.00000,-0.05000,0.00000,0.00000,0.00000,0.00000,0.00000
6.36058,-10.31803,-10.00000,0.00000,-0.05000,0.00000,0.00000,0.00000,0.00000,0.00000
6.46154,-10.32308,-10.00000,0.00000,-0.05000,0.00000,0.00000,0.00000,0.00000,0.00000
6.56250,-10.32812,-10.00000,0.00000,-0.05000,0.00000,0.00000,0.00000,0.00000,0.00000
