t, thetaX, thetaY, thetaZ, omegaX, omegaY, omegaZ, alphaX, alphaY, alphaZ
0.00000,-10.00000,-10.00000,0.00000,-0.05000,0.00000,0.00000,0.00000,0.00000,0.00000
0.10408,-10.00520,-10.00000,0.00000,-0.05000,0.00000,0.00000,0.00000,0.00000,0.00000
0.20816,-10.01041,-10.00000,0.00000,-0.05000,0.00000,0.00000,0.00000,0.00000,0.00000
0.31224,-10.01561,-10.00000,0.00000,-0.05000,0.00000,0.00000,0.00000,0.00000,0.00000
0.41633,-10.02082,-10.00000,0.00000,-0.05000,0.00000,0.00000,0.00000,0.00000,0.00000
0.52041,-10.02602,-10.00000,0.00000,-0.05000,0.00000,0.00000,0.00000,0.00000,0.00000
0.62449,-10.03122,-10.00000,0.00000,-0.05000,0.00000,0.00000,0.00000,0.00000,0.00000
0.72857,-10.03643,-10.00000,0.00000,-0.05000,0.00000,0.00000,0.00000,0.00000,0.00000
0.83265,-10.04163,-10.00000,0.00000,-0.05000,0.00000,0.00000,0.00000,0.00000,0.00000
0.93673,-10.04684,-10.00000,0.00000,-0.05000,0.00000,0.00000,0.00000,0.00000,0.00000
1.04082,-10.05204,-10.00000,0.00000,-0.05000,0.00000,0.00000,0.00000,0.00000,0.00000
1.14490,-10.05724,-10.00000,0.00000,-0.05000,0.00000,0.00000,0.00000,0.00000,0.00000
1.24898,-10.06245,-10.00000,0.00000,-0.05000,0.00000,0.00000,0.00000,0.00000,0.00000
1.35306,-10.06765,-10.00000,0.00000,-0.05000,0.00000,0.00000,0.00000,0.00000,0.00000
1.45714,-10.07286,-10.00000,0.00000,-0.05000,0.00000,0.00000,0.00000,0.00000,0.00000
1.56122,-10.07806,-10.00000,0.00000,-0.05000,0.00000,0.00000,0.00000,0.00000,0.00000
1.66531,-10.08327,-10.00000,0.00000,-0.05000,0.00000,0.00000,0.00000,0.00000,0.00000
1.76939,-10.08847,-10.00000,0.00000,-0.05000,0.00000,0.00000,0.00000,0.00000,0.00000
1.87347,-10.09367,-10.00000,0.00000,-0.05000,0.00000,0.00000,0.00000,0.00000,0.00000
1.97755,-10.09888,-10.00000,0.00000,-0.05000,0.00000,0.00000,0.00000,0.00000,0.00000
2.08163,-10.10408,-10.00000,0.00000,-0.05000,0.00000,0.00000,0.00000,0.00000,0.00000
2.18571,-10.10929,-10.00000,0.00000,-0.05000,0.00000,0.00000,0.00000,0.00000,0.00000
2.28980,-10.11449,-10.00000,0.00000,-0.05000,0.00000,0.00000,0.00000,0.00000,0.00000
2.39388,-10.11969,-10.00000,0.00000,-0.05000,0.00000,0.00000,0.00000,0.00000,0.00000
2.49796,-10.12490,-10.00000,0.00000,-0.05000,0.00000,0.00000,0.00000,0.00000,0.00000
2.60204,-10.13010,-10.00000,0.00000,-0.05000,0.00000,0.00000,0.00000,0.00000,0.00000
2.70612,-10.13531,-10.00000,0.00000,-0.05000,0.00000,0.00000,0.00000,0.00000,0.00000
2.81020,-10.14051,-10.00000,0.00000,-0.05000,0.00000,0.00000,0.00000,0.00000,0.00000
2.91429,-10.14571,-10.00000,0.00000,-0.05000,0.00000,0.00000,0.00000,0.00000,0.00000
3.01837,-10.15092,-10.00000,0.00000,-0.05000,0.00000,0.00000,0.00000,0.00000,0.00000
3.12245,-10.15612,-10.00000,0.00000,-0.05000,0.00000,0.00000,0.00000,0.00000,0.00000
3.22653,-10.16133,-10.00000,0.00000,-0.05000,0.00000,0.00000,0.00000,0.00000,0.00000
3.33061,-10.16653,-10.00000,0.00000,-0.05000,0.00000,0.00000,0.00000,0.00000,0.00000
3.43469,-10.17173,-10.00000,0.00000,-0.05000,0.00000,0.00000,0.00000,0.00000,0.00000
3.53878,-10.17694,-10.00000,0.00000,-0.05000,0.00000,0.00000,0.00000,0.00000,0.00000
3.64286,-10.18214,-10.00000,0.00000,-0.05000,0.00000,0.00000,0.00000,0.00000,0.00000
3.74694,-10.18735,-10.00000,0.00000,-0.05000,0.00000,0.00000,0.00000,0.00000,0.00000
3.85102,-10.19255,-10.00000,0.00000,-0.05000,0.00000,0.00000,0.00000,0.00000,0.00000
3.95510,-10.19776,-10.00000,0.00000,-0.05000,0.00000,0.00000,0.00000,0.00000,0.00000
4.05918,-10.20296,-10.00000,0.00000,-0.05000,0.00000,0.00000,0.00000,0.00000,0.00000
4.16327,-10.20816,-10.00000,0.00000,-0.05000,0.00000,0.00000,0.00000,0.00000,0.00000
4.26735,-10.21337,-10.00000,0.00000,-0.05000,0.00000,0.00000,0.00000,0.00000,0.00000
4.37143,-10.21857,-10.00000,0.00000,-0.05000,0.00000,0.00000,0.00000,0.00000,0.00000
4.47551,-10.22378,-10.00000,0.00000,-0.05000,0.00000,0.00000,0.00000,0.00000,0.00000
4.57959,-10.22898,-10.00000,0.00000,-0.05000,0.00000,0.00000,0.00000,0.00000,0.00000
4.68367,-10.23418,-10.00000,0.00000,-0.05000,0.00000,0.00000,0.00000,0.00000,0.00000
4.78776,-10.23939,-10.00000,0.00000,-0.05000,0.00000,0.00000,0.00000,0.00000,0.00000
4.89184,-10.24459,-10.00000,0.00000,-0.05000,0.00000,0.00000,0.00000,0.00000,0.00000
4.99592,-10.24980,-10.00000,0.00000,-0.05000,0.00000,0.00000,0.00000,0.00000,0.00000
5.10000,-10.25500,-10.00000,0.00000,-0.05000,0.00000,0.00000,0.00000,0.00000,0.00000
