t, thetaX, thetaY, thetaZ, omegaX, omegaY, omegaZ, alphaX, alphaY, alphaZ
0.00000,0.59123,0.61985,0.00000,-0.01448,-0.01609,0.00000,0.00000,0.00000,0.00000
0.50000,0.58399,0.61180,0.00000,-0.01448,-0.01609,0.00000,0.00000,0.00000,0.00000
1.00000,0.57675,0.60376,0.00000,-0.01448,-0.01609,0.00000,0.00000,0.00000,0.00000
1.50000,0.56950,0.59571,0.00000,-0.01448,-0.01609,0.00000,0.00000,0.00000,0.00000
2.00000,0.56226,0.58767,0.00000,-0.01448,-0.01609,0.00000,0.00000,0.00000,0.00000
2.50000,0.55502,0.57962,0.00000,-0.01448,-0.01609,0.00000,0.00000,0.00000,0.00000
3.00000,0.54778,0.57158,0.00000,-0.01448,-0.01609,0.00000,0.00000,0.00000,0.00000
3.50000,0.54053,0.56353,0.00000,-0.01448,-0.01609,0.00000,0.00000,0.00000,0.00000
4.00000,0.53329,0.55549,0.00000,-0.01448,-0.01609,0.00000,0.00000,0.00000,0.00000
4.50000,0.52605,0.54744,0.00000,-0.01448,-0.01609,0.00000,0.00000,0.00000,0.00000
5.00000,0.51881,0.53940,0.00000,-0.01448,-0.01609,0.00000,0.00000,0.00000,0.00000
5.50000,0.51156,0.53135,0.00000,-0.01448,-0.01609,0.00000,0.00000,0.00000,0.00000
6.00000,0.50432,0.52331,0.00000,-0.01448,-0.01609,0.00000,0.00000,0.00000,0.00000
6.50000,0.49708,0.51526,0.00000,-0.01448,-0.01609,0.00000,0.00000,0.00000,0.00000
7.00000,0.48984,0.50722,0.00000,-0.01448,-0.01609,0.00000,0.00000,0.00000,0.00000
7.50000,0.48260,0.49917,0.00000,-0.01448,-0.01609,0.00000,0.00000,0.00000,0.00000
8.00000,0.47535,0.49113,0.00000,-0.01448,-0.01609,0.00000,0.00000,0.00000,0.00000
8.50000,0.46811,0.48308,0.00000,-0.01448,-0.01609,0.00000,0.00000,0.00000,0.00000
9.00000,0.46087,0.47504,0.00000,-0.01448,-0.01609,0.00000,0.00000,0.00000,0.00000
9.50000,0.45363,0.46699,0.00000,-0.01448,-0.01609,0.00000,0.00000,0.00000,0.00000
