t, thetaX, thetaY, thetaZ, omegaX, omegaY, omegaZ, alphaX, alphaY, alphaZ
5.30877,0.00000,-0.73907,0.00000,0.00000,0.00873,0.00000,0.00000,0.00000,0.00000
5.40894,0.00000,-0.73820,0.00000,0.00000,0.00873,0.00000,0.00000,0.00000,0.00000
5.50911,0.00000,-0.73732,0.00000,0.00000,0.00873,0.00000,0.00000,0.00000,0.00000
5.60927,0.00000,-0.73645,0.00000,0.00000,0.00873,0.00000,0.00000,0.00000,0.00000
5.70944,0.00000,-0.73557,0.00000,0.00000,0.00873,0.00000,0.00000,0.00000,0.00000
5.80960,0.00000,-0.73470,0.00000,0.00000,0.00873,0.00000,0.00000,0.00000,0.00000
5.90977,0.00000,-0.73383,0.00000,0.00000,0.00873,0.00000,0.00000,0.00000,0.00000
6.00993,0.00000,-0.73295,0.00000,0.00000,0.00873,0.00000,0.00000,0.00000,0.00000
6.11010,0.00000,-0.73208,0.00000,0.00000,0.00873,0.00000,0.00000,0.00000,0.00000
6.21026,0.00000,-0.73120,0.00000,0.00000,0.00873,0.00000,0.00000,0.00000,0.00000
6.31043,0.00000,-0.73033,0.00000,0.00000,0.00873,0.00000,0.00000,0.00000,0.00000
6.41060,0.00000,-0.72946,0.00000,0.00000,0.00873,0.00000,0.00000,0.00000,0.00000
6.51076,0.00000,-0.72858,0.00000,0.00000,0.00873,0.00000,0.00000,0.00000,0.00000
6.61093,0.00000,-0.72771,0.00000,0.00000,0.00873,0.00000,0.00000,0.00000,0.00000
6.71109,0.00000,-0.72683,0.00000,0.00000,0.00873,0.00000,0.00000,0.00000,0.00000
6.81126,0.00000,-0.72596,0.00000,0.00000,0.00873,0.00000,0.00000,0.00000,0.00000
6.91142,0.00000,-0.72508,0.00000,0.00000,0.00873,0.00000,0.00000,0.00000,0.00000
7.01159,0.00000,-0.72421,0.00000,0.00000,0.00873,0.00000,0.00000,0.00000,0.00000
7.11175,0.00000,-0.72334,0.00000,0.00000,0.00873,0.00000,0.00000,0.00000,0.00000
7.21192,0.00000,-0.72246,0.00000,0.00000,0.00873,0.00000,0.00000,0.00000,0.00000
7.31209,0.00000,-0.72159,0.00000,0.00000,0.00873,0.00000,0.00000,0.00000,0.00000
7.41225,0.00000,-0.72071,0.00000,0.00000,0.00873,0.00000,0.00000,0.00000,0.00000
7.51242,0.00000,-0.71984,0.00000,0.00000,0.00873,0.00000,0.00000,0.00000,0.00000
7.61258,0.00000,-0.71897,0.00000,0.00000,0.00873,0.00000,0.00000,0.00000,0.00000
7.71275,0.00000,-0.71809,0.00000,0.00000,0.00873,0.00000,0.00000,0.00000,0.00000
7.81291,0.00000,-0.71722,0.00000,0.00000,0.00873,0.00000,0.00000,0.00000,0.00000
7.91308,0.00000,-0.71634,0.00000,0.00000,0.00873,0.00000,0.00000,0.00000,0.00000
8.01325,0.00000,-0.71547,0.00000,0.00000,0.00873,0.00000,0.00000,0.00000,0.00000
8.11341,0.00000,-0.71460,0.00000,0.00000,0.00873,0.00000,0.00000,0.00000,0.00000
