t, thetaX, thetaY, thetaZ, omegaX, omegaY, omegaZ, alphaX, alphaY, alphaZ
0.00000,-0.51863,0.59398,0.00000,-0.01402,-0.00275,0.00000,0.00000,0.00000,0.00000
0.50000,-0.52564,0.59261,0.00000,-0.01402,-0.00275,0.00000,0.00000,0.00000,0.00000
1.00000,-0.53265,0.59123,0.00000,-0.01402,-0.00275,0.00000,0.00000,0.00000,0.00000
1.50000,-0.53966,0.58985,0.00000,-0.01402,-0.00275,0.00000,0.00000,0.00000,0.00000
2.00000,-0.54667,0.58848,0.00000,-0.01402,-0.00275,0.00000,0.00000,0.00000,0.00000
2.50000,-0.55368,0.58710,0.00000,-0.01402,-0.00275,0.00000,0.00000,0.00000,0.00000
3.00000,-0.56069,0.58572,0.00000,-0.01402,-0.00275,0.00000,0.00000,0.00000,0.00000
3.50000,-0.56770,0.58435,0.00000,-0.01402,-0.00275,0.00000,0.00000,0.00000,0.00000
4.00000,-0.57471,0.58297,0.00000,-0.01402,-0.00275,0.00000,0.00000,0.00000,0.00000
4.50000,-0.58172,0.58159,0.00000,-0.01402,-0.00275,0.00000,0.00000,0.00000,0.00000
5.00000,-0.58873,0.58022,0.00000,-0.01402,-0.00275,0.00000,0.00000,0.00000,0.00000
5.50000,-0.59574,0.57884,0.00000,-0.01402,-0.00275,0.00000,0.00000,0.00000,0.00000
6.00000,-0.60275,0.57746,0.00000,-0.01402,-0.00275,0.00000,0.00000,0.00000,0.00000
6.50000,-0.60976,0.57608,0.00000,-0.01402,-0.00275,0.00000,0.00000,0.00000,0.00000
7.00000,-0.61677,0.57471,0.00000,-0.01402,-0.00275,0.00000,0.00000,0.00000,0.00000
7.50000,-0.62378,0.57333,0.00000,-0.01402,-0.00275,0.00000,0.00000,0.00000,0.00000
8.00000,-0.63079,0.57195,0.00000,-0.01402,-0.00275,0.00000,0.00000,0.00000,0.00000
8.50000,-0.63780,0.57058,0.00000,-0.01402,-0.00275,0.00000,0.00000,0.00000,0.00000
9.00000,-0.64481,0.56920,0.00000,-0.01402,-0.00275,0.00000,0.00000,0.00000,0.00000
9.50000,-0.65182,0.56782,0.00000,-0.01402,-0.00275,0.00000,0.00000,0.00000,0.00000
